Valor	Contagem de pixel	Área (m2)
1.125	230	210921.7186229416
1.375	325	298041.5589237218
1.425	14709	13488902.43141238
1.625	106	97207.40075666005
1.675	25600	23476504.33368393
1.875	659	604336.5764022544
1.925	22915	21014222.53149873
2.125	1157	1061027.94976845
2.175	48517	44492560.96708373
2.375	143	131138.2859264376
2.425	62023	56878251.10500307
2.675	14163	12988192.61242053
2.925	1413	1295792.993105289
3.175	152	139391.7444812484
