Valor	Contagem de pixel	Área (m²)
1.125	548	502543.9208929123
1.375	759	696041.6714556942
1.425	19822	18177783.94149509
1.625	372	341142.9535988382
1.675	36358	33342138.45953377
1.875	4394	4029521.876648644
1.925	30499	27969136.94035206
2.125	4051	3714973.400615306
2.175	95186	87290411.77757801
2.375	448	410838.8258394611
2.425	101311	92907348.84960189
2.625	4	3668.203802138046
2.675	17734	16262981.55677903
2.925	3344	3066618.378587406
3.175	1488	1364571.814395353
