Valor	Contagem de pixel	Área (m²)
1.425	6296	5773752.78456531
1.675	8360	7666545.94646855
1.925	9822	9007274.436150013
2.175	43214	39629439.77639855
2.425	32182	29512533.69010178
2.675	24350	22330190.64551545
2.925	18373	16848977.11417066
3.175	8559	7849039.085624918
3.425	2548	2336645.821961946
3.675	1248	1144479.586267076
